round_k,3,15,51,210,865
round_shots,300,300,100,100,100
round_queries,300,1500,2300,8900,170300
round_k,2,11,44,190,851
round_shots,700,200,100,100,100,100
round_queries,700,1000,1700,5500,20100,431700
round_k,2,8,27,100,418,2158
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5900,23500,553300
round_k,2,8,29,117,523,2766
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,22700,427300
round_k,2,9,32,113,442,2136
round_shots,500,100,100,100,100,100
round_queries,500,500,1700,5900,22700,488300
round_k,2,8,29,113,463,2441
round_shots,600,100,100,200,100
round_queries,600,700,2300,14200,180900
round_k,3,11,35,208,904
round_shots,500,200,200,200,100
round_queries,500,1000,3400,14200,168500
round_k,2,8,35,186,842
round_shots,400,100,200,100,100,100
round_queries,400,500,3400,5900,19100,401700
round_k,2,8,29,95,401,2008
round_shots,500,200,100,100,100
round_queries,500,1400,3100,10900,219700
round_k,3,15,54,233,1098
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5500,19100,424700
round_k,2,8,27,95,410,2123
round_shots,500,200,100,100,100
round_queries,500,1400,3100,9500,147900
round_k,3,15,47,166,739
round_shots,400,300,200,100,100
round_queries,400,1500,4600,12700,228100
round_k,2,11,63,246,1140
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,8700,29900,748500
round_k,2,8,43,149,680,3742
round_shots,400,300,200,100,100
round_queries,400,1500,5000,13500,258100
round_k,2,12,67,266,1290
round_shots,500,200,200,100,100,100
round_queries,500,1000,3800,7700,30900,763700
round_k,2,9,38,154,694,3818
round_shots,300,100,200,100,100
round_queries,300,500,3400,8700,154300
round_k,2,8,43,165,771
round_shots,700,200,100,100,100,100
round_queries,700,1000,1900,6100,24900,551900
round_k,2,9,30,124,525,2759
round_shots,500,200,200,100,100,100
round_queries,500,1000,3400,6700,21100,330500
round_k,2,8,33,105,363,1652
round_shots,700,200,200,100,100
round_queries,700,1400,5000,9100,157100
round_k,3,12,45,165,785
round_shots,700,200,200,100,100
round_queries,700,1400,6200,13100,157100
round_k,3,15,65,198,785
round_shots,600,200,100,200,100,100
round_queries,600,1000,1700,10600,23700,521100
round_k,2,8,26,118,499,2605
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,7700,28100,664900
round_k,2,8,38,140,635,3324
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6700,24500,612900
round_k,2,9,33,122,573,3064
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5500,20900,450100
round_k,2,8,27,104,437,2250
round_shots,300,100,200,100,100,100
round_queries,300,500,3400,7900,31100,745300
round_k,2,8,39,155,689,3726
round_shots,500,200,200,100,100,100
round_queries,500,1000,3400,7900,26300,617300
round_k,2,8,39,131,596,3086
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,7100,26100,663100
round_k,2,9,35,130,606,3315
round_shots,600,200,100,100,100
round_queries,600,1400,2500,9300,170300
round_k,3,12,46,183,851
round_shots,500,200,200,100,100
round_queries,500,1000,3400,8500,170500
round_k,2,8,42,179,852
round_shots,400,200,200,200,100
round_queries,400,1000,3800,13400,150700
round_k,2,9,33,177,753
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,7900,26100,636100
round_k,2,8,39,130,591,3180
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,21100,438100
round_k,2,9,30,105,422,2190
round_shots,500,200,200,100,100
round_queries,500,1400,5000,11300,163300
round_k,3,12,56,203,816
round_shots,600,200,100,200,100,100
round_queries,600,1000,1700,11800,25900,553300
round_k,2,8,29,129,545,2766
round_shots,300,200,200,100,100
round_queries,300,1000,3800,10100,194100
round_k,2,9,50,209,970
round_shots,600,200,100,100,100,100
round_queries,600,1000,1900,6100,18700,299700
round_k,2,9,30,93,300,1498
round_shots,600,200,100,100,100
round_queries,600,1400,2900,8900,170700
round_k,3,14,44,182,853
round_shots,500,200,200,100,100,100
round_queries,500,1000,3400,8500,29300,685100
round_k,2,8,42,146,639,3425
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5500,16700,288100
round_k,2,8,27,83,288,1440
round_shots,600,200,200,200,100
round_queries,600,1400,5000,22600,286500
round_k,3,12,56,333,1432
round_shots,600,200,200,100,100,100
round_queries,600,1000,4600,8300,31100,749300
round_k,2,11,41,155,698,3746
round_shots,600,200,200,200,100
round_queries,600,1000,4600,17800,221700
round_k,2,11,44,238,1108
round_shots,600,200,200,100,100,100
round_queries,600,1000,3800,7100,25900,551300
round_k,2,9,35,129,519,2756
round_shots,500,100,200,100,100
round_queries,500,700,4600,9500,166500
round_k,3,11,47,192,832
round_shots,600,200,100,200,100
round_queries,600,1400,2900,17800,172300
round_k,3,14,44,182,861
round_shots,600,200,100,100,100
round_queries,600,1400,3100,11700,231700
round_k,3,15,58,239,1158
round_shots,500,200,100,100,100
round_queries,500,1400,2500,9500,171900
round_k,3,12,47,186,859
round_shots,500,100,200,100,100
round_queries,500,700,4600,9500,160300
round_k,3,11,47,172,801
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,8300,25100,533500
round_k,2,8,41,125,502,2667
round_shots,400,300,100,200,100
round_queries,400,1500,1900,13400,158500
round_k,2,9,33,181,792
round_shots,600,200,100,100,100
round_queries,600,1000,2500,9300,179900
round_k,2,12,46,193,899
round_shots,600,200,100,100,100
round_queries,600,1400,2900,9500,162500
round_k,3,14,47,183,812
round_shots,500,200,100,100,100
round_queries,500,1400,2900,9500,175100
round_k,3,14,47,182,875
round_shots,300,200,200,100,100,100
