round_queries,100,300,1300,6300,41000,121900,565300,2878100
round_k,0,1,6,31,102,609,2826,14390
round_shots,100,100,100,200,100,100,100,100,100
round_queries,100,300,900,5800,6900,32100,143900,736100,3772700
round_k,0,1,4,14,34,160,719,3680,18863
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,2100,6500,15700,53100,243300,1232300,6338500
round_k,0,2,10,32,78,265,1216,6161,31692
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3500,21800,77100,355700,1770700
round_k,0,1,4,17,54,385,1778,8853
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,20500,69500,235700,1201500,6144100
round_k,0,1,5,26,102,347,1178,6007,30720
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1500,6300,33800,96100,448100,2258500
round_k,0,1,7,31,84,480,2240,11292
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,16500,40100,147900,749500,3724500
round_k,0,1,5,24,82,200,739,3747,18622
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,11000,37500,171700,847900,4544300
round_k,0,1,5,27,187,858,4239,22721
round_shots,100,100,100,200,100,100,100,100,100
round_queries,100,300,900,5400,6900,32900,142700,706900,3599900
round_k,0,1,4,13,34,164,713,3534,17999
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,18900,83700,403300,2002700
round_k,0,1,5,19,94,418,2016,10013
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,900,4600,14900,62100,302700,1526700
round_k,0,1,4,11,74,310,1513,7633
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22300,75700,352700,1589500
round_k,0,1,5,24,111,378,1763,7947
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,18700,80700,362500,1803300
round_k,0,1,5,26,93,403,1812,9016
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6100,16900,53900,269900,1384300,7120500
round_k,0,1,7,30,84,269,1349,6921,35602
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,9300,21100,75700,371100,1851900
round_k,0,1,5,19,46,105,378,1855,9259
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,12500,56700,283900,1444300,7395500
round_k,0,1,5,23,62,283,1419,7221,36977
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3900,15100,39100,152100,753900,3776500
round_k,0,1,6,19,75,195,760,3769,18882
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1900,8100,16900,53900,271500,1366500,7029500
round_k,0,2,9,40,84,269,1357,6832,35147
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4700,29400,91500,463100,2382300
round_k,0,1,5,23,73,457,2315,11911
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,3900,19400,67500,323500,1651300
round_k,0,1,5,19,48,337,1617,8256
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3900,11100,52900,248100,1251500,6405700
round_k,0,1,6,19,55,264,1240,6257,32028
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,14900,64300,298700,1503700,7722300
round_k,0,1,4,14,74,321,1493,7518,38611
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5900,22900,52300,177300,812900,4050500
round_k,0,1,6,29,114,261,886,4064,20252
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4500,16700,59900,269900,1362500,7011300
round_k,0,1,6,22,83,299,1349,6812,35056
round_shots,100,100,100,200,100,100,100,100,100
round_queries,100,300,700,5800,6900,22700,98300,495100,2530900
round_k,0,1,3,14,34,113,491,2475,12654
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5500,18500,49700,124900,643700,3120100
round_k,0,1,7,27,92,248,624,3218,15600
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,20300,66700,317900,1577900
round_k,0,1,6,23,101,333,1589,7889
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,18500,83900,402100,2055300
round_k,0,1,4,21,92,419,2010,10276
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,19100,93700,469100,2351900
round_k,0,1,5,24,95,468,2345,11759
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,23700,97100,441300,2196500
round_k,0,1,6,24,118,485,2206,10982
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15900,33100,166700,799100,4008700
round_k,0,1,4,17,79,165,833,3995,20043
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3500,7300,26900,121300,619100,3166700
round_k,0,1,5,17,36,134,606,3095,15833
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,11700,55900,243100,1220300,6203100
round_k,0,1,5,23,58,279,1215,6101,31015
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3300,27000,88100,413100,2097900
round_k,0,1,4,16,67,440,2065,10489
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,8500,38500,192700,962500,4919700
round_k,0,1,4,20,42,192,963,4812,24598
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,11700,32500,147500,743700,3708900
round_k,0,1,5,19,58,162,737,3718,18544
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,10700,53700,271100,1366900,7015100
round_k,0,1,5,19,53,268,1355,6834,35075
round_shots,100,100,100,100,100,100,100,100,100
