round_k,1,6,19,73,305
round_shots,500,400,200,100
round_queries,500,1200,2600,23700
round_k,1,6,31,118
round_shots,400,400,100,100,100
round_queries,400,1200,1300,3900,45100
round_k,1,6,19,68,225
round_shots,600,400,100,100,100
round_queries,600,1200,1300,3900,58100
round_k,1,6,19,70,290
round_shots,600,300,100,100,100
round_queries,600,900,1100,3700,50900
round_k,1,5,18,66,254
round_shots,400,400,100,100
round_queries,400,1200,1300,20100
round_k,1,6,19,100
round_shots,200,400,200,100
round_queries,200,1200,2600,23500
round_k,1,6,31,117
round_shots,500,400,100,100,100
round_queries,500,1200,1300,3900,54300
round_k,1,6,19,70,271
round_shots,400,300,200,100,100
round_queries,400,900,2200,4100,54500
round_k,1,5,20,64,272
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,53500
round_k,1,5,19,63,267
round_shots,500,400,200,100,100
round_queries,500,1200,2200,4900,62700
round_k,1,5,24,93,313
round_shots,400,400,200,200
round_queries,400,1200,2200,36600
round_k,1,5,25,91
round_shots,400,400,200,100,100
round_queries,400,1200,2200,4900,63900
round_k,1,5,24,80,319
round_shots,400,400,300,200,100
round_queries,400,1200,2700,5400,44300
round_k,1,4,13,55,221
round_shots,400,300,200,100
round_queries,400,900,2200,17700
round_k,1,5,24,88
round_shots,200,400,100,100,100
round_queries,200,1200,1100,3500,44100
round_k,1,5,17,55,220
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4900,74300
round_k,1,5,24,85,371
round_shots,500,400,200,100,100
round_queries,500,1200,2200,4900,68700
round_k,1,5,24,81,343
round_shots,400,400,200,100
round_queries,400,1200,2600,23100
round_k,1,6,30,115
round_shots,300,400,300,200,100
round_queries,300,1200,2700,5400,38100
round_k,1,4,13,49,190
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,51300
round_k,1,5,19,62,256
round_shots,500,400,200,200,100
round_queries,500,1200,2200,7800,47100
round_k,1,5,19,78,235
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,46500
round_k,1,5,19,72,232
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,53500
round_k,1,5,19,63,267
round_shots,300,400,100,100,100
round_queries,300,1200,1300,3900,46500
round_k,1,6,19,72,232
round_shots,600,300,100,100,100
round_queries,600,900,1100,3700,46500
round_k,1,5,18,66,232
round_shots,400,300,300,200,100
round_queries,400,900,2700,5400,44700
round_k,1,4,13,55,223
round_shots,300,300,200,100,100
round_queries,300,900,2200,3900,58300
round_k,1,5,19,68,291
round_shots,300,300,300,200,100
round_queries,300,900,2700,5400,37100
round_k,1,4,13,48,185
round_shots,200,300,200,100,100
round_queries,200,900,2200,3900,54100
round_k,1,5,19,64,270
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3900,59300
round_k,1,5,19,70,296
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,52500
round_k,1,5,19,62,262
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4900,71100
round_k,1,5,24,85,355
round_shots,300,300,200,200,100
round_queries,300,900,2200,8200,42700
round_k,1,5,20,61,213
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3900,51300
round_k,1,5,19,69,256
round_shots,400,400,100,100,100
round_queries,400,1200,1100,3700,54500
round_k,1,5,18,67,272
round_shots,500,300,200,100
round_queries,500,900,2200,18700
round_k,1,5,19,93
round_shots,300,400,200,100
round_queries,300,1200,2600,20900
round_k,1,6,26,104
round_shots,300,400,200,200
round_queries,300,1200,3000,50600
round_k,1,7,33,126
round_shots,700,300,200,100,100
round_queries,700,900,2200,3900,42500
round_k,1,5,19,61,212
round_shots,300,400,200,100,100
round_queries,300,1200,2200,5100,53100
round_k,1,5,25,86,265
round_shots,600,400,100,200,100
round_queries,600,1200,1100,7000,51700
round_k,1,5,17,80,258
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,68700
round_k,1,5,19,77,343
round_shots,600,300,200,200,100
round_queries,600,900,2200,7800,57100
round_k,1,5,19,72,285
round_shots,300,300,200,100
round_queries,300,900,2200,18100
round_k,1,5,24,90
round_shots,500,400,100,100,100
