round_queries,200,300,900,2900,57700
round_k,1,4,14,56,288
round_shots,200,100,200,100
round_queries,200,300,1800,17300
round_k,1,4,20,86
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,52300
round_k,1,4,14,50,261
round_shots,200,100,100,100,100
round_queries,200,300,900,2900,60500
round_k,1,4,14,60,302
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,36900
round_k,1,4,13,40,184
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,52900
round_k,1,4,16,61,264
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,50900
round_k,1,4,13,48,254
round_shots,100,100,200,100
round_queries,100,300,1800,17100
round_k,1,4,21,85
round_shots,100,200,100,100
round_queries,100,600,1100,21500
round_k,1,5,23,107
round_shots,200,200,100,100
round_queries,200,600,1100,19500
round_k,1,5,20,97
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,72900
round_k,1,4,16,69,364
round_shots,100,200,100,100,100
round_queries,100,600,900,2900,56900
round_k,1,4,14,55,284
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,62900
round_k,1,4,16,60,314
round_shots,100,100,200,100
round_queries,100,300,1800,19300
round_k,1,4,23,96
round_shots,100,100,100,100
round_queries,100,300,1100,19300
round_k,1,5,21,96
round_shots,100,200,100,100
round_queries,100,600,1100,20100
round_k,1,5,22,100
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,62700
round_k,1,4,16,63,313
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,53900
round_k,1,4,13,52,269
round_shots,200,200,100,100
round_queries,200,600,1100,15700
round_k,1,5,17,78
round_shots,100,100,200,100
round_queries,100,300,1800,20900
round_k,1,4,23,104
round_shots,200,200,100,100,100
round_queries,200,600,900,2700,56100
round_k,1,4,13,59,280
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,48100
round_k,1,4,14,47,240
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,60700
round_k,1,4,14,58,303
round_shots,100,100,100,100
round_queries,100,300,1100,19100
round_k,1,5,20,95
round_shots,100,200,100,100
round_queries,100,600,1500,17500
round_k,1,7,23,87
round_shots,100,100,100,100
round_queries,100,300,900,16100
round_k,1,4,17,80
round_shots,100,200,100,100
round_queries,100,600,1100,15300
round_k,1,5,19,76
round_shots,100,200,100,100,100
round_queries,100,600,900,2900,62500
round_k,1,4,14,59,312
round_shots,100,200,100,100
round_queries,100,600,1100,18700
round_k,1,5,21,93
round_shots,100,100,200,100,100
round_queries,100,300,1800,3300,52500
round_k,1,4,16,64,262
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,55500
round_k,1,4,16,61,277
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,43500
round_k,1,4,13,47,217
round_shots,100,200,100,100,100
round_queries,100,600,900,2900,60900
round_k,1,4,14,58,304
round_shots,200,100,100,100
round_queries,200,300,900,14900
round_k,1,4,17,74
round_shots,100,200,100,100
round_queries,100,600,1100,17300
round_k,1,5,20,86
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,42900
round_k,1,4,13,44,214
round_shots,100,200,100,100
round_queries,100,600,1100,14900
round_k,1,5,17,74
round_shots,100,100,200,100
round_queries,100,300,1800,16500
round_k,1,4,20,82
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,59700
round_k,1,4,14,58,298
round_shots,100,100,100,100
round_queries,100,300,1100,16900
round_k,1,5,18,84
round_shots,100,100,100,100,100
round_queries,100,300,900,3500,74300
round_k,1,4,17,70,371
round_shots,100,100,100,100
round_queries,100,300,900,15300
round_k,1,4,17,76
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,56700
round_k,1,4,16,55,283
round_shots,200,100,100,100
round_queries,200,300,900,15300
round_k,1,4,16,76
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,54900
round_k,1,4,13,54,274
round_shots,100,200,100,100
round_queries,100,600,1100,14300
round_k,1,5,16,71
round_shots,100,100,100,100
round_queries,100,300,1100,21300
round_k,1,5,22,106
round_shots,100,100,200,100
round_queries,100,300,1800,14500
round_k,1,4,19,72
round_shots,100,100,200,100
round_queries,100,300,2200,22300
round_k,1,5,26,111
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,66700
round_k,1,4,16,69,333
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,59300
round_k,1,4,14,60,296
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,71700
round_k,1,4,16,69,358
round_shots,100,200,100,100,100
round_queries,100,600,1100,3300,63300
round_k,1,5,16,60,316
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,55100
round_k,1,4,13,55,275
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,50500
round_k,1,4,13,55,252
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,47100
round_k,1,4,13,55,235
round_shots,100,100,200,100,100
round_queries,100,300,1800,3300,73100
round_k,1,4,16,71,365
round_shots,100,200,100,100
round_queries,100,600,1100,17300
round_k,1,5,20,86
round_shots,100,100,100,100
round_queries,100,300,900,14700
round_k,1,4,17,73
round_shots,100,100,100,100,100
round_queries,100,300,900,3500,74300
round_k,1,4,17,67,371
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,51700
round_k,1,4,13,50,258
round_shots,100,100,100,100,100
round_queries,100,300,900,3500,64300
round_k,1,4,17,65,321
round_shots,100,200,100,100
round_queries,100,600,1100,15300
round_k,1,5,17,76
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,52700
round_k,1,4,13,51,263
round_shots,100,100,100,100
round_queries,100,300,900,15900
round_k,1,4,17,79
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,43500
round_k,1,4,13,46,217
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,63900
round_k,1,4,16,64,319
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,56700
round_k,1,4,13,57,283
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,68900
round_k,1,4,14,64,344
round_shots,100,100,100,100
round_queries,100,300,900,14300
round_k,1,4,17,71
round_shots,100,200,100,100
round_queries,100,600,900,18500
round_k,1,4,18,92
round_shots,200,200,100,100
round_queries,200,600,1100,15700
round_k,1,5,17,78
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,47100
round_k,1,4,13,50,235
round_shots,100,200,100,100
round_queries,100,600,1100,14500
round_k,1,5,17,72
round_shots,100,100,200,100,100
round_queries,100,300,1800,3500,62100
round_k,1,4,17,59,310
round_shots,200,100,200,100
round_queries,200,300,1800,18100
round_k,1,4,19,90
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,54100
round_k,1,4,14,51,270
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,34900
round_k,1,4,13,46,174
round_shots,200,200,200,100
round_queries,200,600,1800,22700
round_k,1,4,25,113
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,42300
round_k,1,4,13,44,211
round_shots,100,200,100,100
round_queries,100,600,1100,18900
round_k,1,5,21,94
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,57500
round_k,1,4,16,55,287
round_shots,100,100,100,100,100
round_queries,100,300,1100,3500,59700
round_k,1,5,17,59,298
round_shots,100,100,100,100,100
round_queries,100,300,900,3500,72700
round_k,1,4,17,69,363
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,52700
round_k,1,4,13,51,263
round_shots,100,200,200,100
round_queries,100,600,1800,18300
round_k,1,4,21,91
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,59100
round_k,1,4,14,56,295
round_shots,100,200,100,100
round_queries,100,600,900,15300
round_k,1,4,19,76
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,69700
round_k,1,4,16,66,348
round_shots,100,100,200,100
round_queries,100,300,1800,14500
round_k,1,4,17,72
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,43900
round_k,1,4,13,47,219
round_shots,100,100,200,100
round_queries,100,300,1800,24700
round_k,1,4,26,123
round_shots,100,100,200,100
round_queries,100,300,1800,22500
round_k,1,4,23,112
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,70100
round_k,1,4,16,67,350
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,52700
round_k,1,4,13,55,263
round_shots,100,100,100,100
round_queries,100,300,1100,20300
round_k,1,5,22,101
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,53900
round_k,1,4,13,51,269
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,63900
round_k,1,4,16,62,319
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,36900
round_k,1,4,13,40,184
round_shots,100,200,100,100
round_queries,100,600,1100,19900
round_k,1,5,20,99
round_shots,100,200,100,100
round_queries,100,600,900,18100
round_k,1,4,19,90
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,55900
round_k,1,4,16,55,279
round_shots,100,200,100,100
round_queries,100,600,900,16100
round_k,1,4,17,80
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,65100
round_k,1,4,16,68,325
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,63700
round_k,1,4,13,63,318
round_shots,100,200,100,100
round_queries,100,600,1500,27700
round_k,1,7,31,138
round_shots,200,200,100,100,100
round_queries,200,600,900,2700,45700
round_k,1,4,13,46,228
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,70500
round_k,1,4,16,68,352
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,63100
round_k,1,4,13,59,315
round_shots,100,100,100,100,100
round_queries,100,300,900,3500,68500
round_k,1,4,17,66,342
round_shots,100,200,100,100
round_queries,100,600,1100,21700
round_k,1,5,23,108
round_shots,100,100,100,100,100
round_queries,100,300,1100,3300,70500
round_k,1,5,16,69,352
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,48100
round_k,1,4,16,52,240
round_shots,200,100,200,100
round_queries,200,300,1800,17500
round_k,1,4,24,87
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,59700
round_k,1,4,13,59,298
round_shots,200,200,100,100,100
round_queries,200,600,900,3300,61100
round_k,1,4,16,65,305
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,69900
round_k,1,4,14,64,349
round_shots,100,100,100,100
round_queries,100,300,900,17100
round_k,1,4,19,85
round_shots,100,100,200,100
round_queries,100,300,1800,15900
round_k,1,4,17,79
round_shots,200,100,200,100
round_queries,200,300,1800,19500
round_k,1,4,23,97
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,57300
round_k,1,4,14,57,286
round_shots,100,200,100,100
round_queries,100,600,1500,27700
round_k,1,7,29,138
round_shots,100,100,100,100,100
round_queries,100,300,1100,3300,64500
round_k,1,5,16,60,322
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,60700
round_k,1,4,14,57,303
round_shots,100,100,100,100
round_queries,100,300,900,15500
round_k,1,4,17,77
round_shots,100,200,100,100,100
round_queries,100,600,900,2900,58500
