round_k,1,4,13,51,212,714,2394,9365,39873
round_shots,300,200,200,200,200,200,200,100
round_queries,300,600,1800,6600,23400,88200,376200,3853700
round_k,1,4,16,58,220,940,4650,19268
round_shots,300,200,200,300,200,100,100,100,100
round_queries,300,600,1800,8100,26200,51700,175900,638300,9805100
round_k,1,4,13,65,258,879,3191,10891,49025
round_shots,300,200,300,200,200,100,100,100
round_queries,300,600,2700,8200,33000,67900,214500,3268900
round_k,1,4,20,82,339,1072,4049,16344
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,5400,18200,37700,124900,411100,7195500
round_k,1,4,13,45,188,624,2055,8148,35977
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,21400,46700,153500,529700,9210100
round_k,1,4,13,53,233,767,2648,10632,46050
round_shots,300,200,200,200,200,100,100,200,100
round_queries,300,600,1800,5400,19000,42700,143500,1040200,9750500
round_k,1,4,13,47,213,717,2600,10956,48752
round_shots,300,300,200,200,100,100,200,100,100
round_queries,300,900,1800,7000,12900,40700,270600,414700,6062700
round_k,1,4,17,64,203,676,2073,6924,30313
round_shots,200,200,300,200,200,100,100,100,100
round_queries,200,600,2700,5800,21400,45500,139300,497300,5380100
round_k,1,4,14,53,227,696,2486,8808,26900
round_shots,300,200,200,300,200,100,100,100,100
round_queries,300,600,1800,8100,23000,47700,159300,562500,10341900
round_k,1,4,13,57,238,796,2812,11285,51709
round_shots,300,300,500,200,200,200,100,100
round_queries,300,900,5500,7000,25800,97000,219300,3134300
round_k,1,5,17,64,242,1096,4002,15671
round_shots,400,200,200,200,200,100,100,100,100
round_queries,400,600,1800,5800,23400,38100,119900,417300,6371500
round_k,1,4,14,58,190,599,2086,8155,31857
round_shots,200,300,200,300,100,100,100,100,100
round_queries,200,900,1800,8100,9100,28500,92500,322500,4681100
round_k,1,4,13,45,142,462,1612,6129,23405
round_shots,300,200,200,300,200,200,100,100,100
round_queries,300,600,1800,8100,21800,67000,114500,400100,6844700
round_k,1,4,13,54,167,572,2000,7769,34223
round_shots,300,200,200,200,200,100,100,200
round_queries,300,600,1800,7000,28600,59100,189500,5111400
round_k,1,4,17,71,295,947,3125,12778
round_shots,300,200,200,300,400,300,100,100,100
round_queries,300,600,1800,9900,47600,112500,112500,356500,4502100
round_k,1,4,16,59,187,562,1782,6698,22510
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6600,12500,38100,122300,432100,6880500
round_k,1,4,16,62,190,611,2160,8564,34402
round_shots,300,300,200,200,200,100,100,100,100
round_queries,300,900,1800,5800,19400,38100,124900,445300,7325900
round_k,1,4,14,48,190,624,2226,8784,36629
round_shots,300,200,200,200,300,200,100,100,100
round_queries,300,600,1800,5400,26100,57800,135500,482500,8490900
round_k,1,4,13,43,144,677,2412,9678,42454
round_shots,200,200,300,200,200,200,100,100
round_queries,200,600,2700,8200,28600,128200,279500,4226500
round_k,1,4,20,71,320,1397,5098,21132
round_shots,200,200,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,17800,67400,145100,516700,9341900
round_k,1,4,13,44,168,725,2583,10314,46709
round_shots,200,300,200,200,200,200,200,100
round_queries,200,900,1800,7000,27400,116600,501000,4012900
round_k,1,4,17,68,291,1252,5305,20064
round_shots,200,300,300,200,200,100,100,100
round_queries,200,900,2700,7400,30200,63700,207900,2947700
round_k,1,4,18,75,318,1039,3806,14738
round_shots,300,200,200,300,300,100,100,100,100
round_queries,300,600,1800,8700,38100,52300,166700,588500,10162300
round_k,1,4,14,63,261,833,2942,11526,50811
round_shots,300,300,200,200,200,200,100,100,100
round_queries,300,900,1800,5800,19400,65400,127500,448500,7112300
round_k,1,4,14,48,163,637,2242,8020,35561
round_shots,300,200,200,200,300,200,100,200,100
round_queries,300,600,1800,5800,26700,58200,103700,713400,4473100
round_k,1,4,14,44,145,518,1783,5852,22365
round_shots,300,200,200,200,200,400,100,100,100
round_queries,300,600,1800,5400,21800,139600,150500,496300,8208900
round_k,1,4,13,54,174,752,2481,9876,41044
round_shots,300,200,200,300,200,100,300,100,100
round_queries,300,600,1800,8100,23000,53100,543300,561900,9556700
round_k,1,4,13,57,265,905,2809,10595,47783
round_shots,200,200,200,300,200,100,100,100,100
round_queries,200,600,1800,8700,21800,45300,147900,537500,8128700
round_k,1,4,14,54,226,739,2687,9077,40643
round_shots,200,200,300,200,200,100,100,100
round_queries,200,600,2700,8200,30200,62900,215500,2701700
round_k,1,4,20,75,314,1077,3376,13508
round_shots,200,200,200,200,200,300,200,100,100
round_queries,200,600,1800,5400,16600,101700,247400,465100,6285900
round_k,1,4,13,41,169,618,2325,8734,31429
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5800,20600,40500,121900,436500,7239300
round_k,1,4,14,51,202,609,2182,8162,36196
round_shots,300,200,200,200,200,100,200,100
round_queries,300,600,1800,6600,26200,52300,334200,2759300
round_k,1,4,16,65,261,835,3248,13796
round_shots,300,200,200,300,200,300,100,100,100
round_queries,300,600,1800,9900,21800,125100,138700,419500,5703100
round_k,1,4,16,54,208,693,2097,7261,28515
round_shots,200,200,200,300,200,100,100,100
round_queries,200,600,1800,8100,23000,48300,165500,2348100
round_k,1,4,13,57,241,827,2911,11740
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,5800,19400,32700,101100,350100,4168900
round_k,1,4,14,48,163,505,1750,5614,20844
round_shots,300,200,200,200,200,200,100,100
round_queries,300,600,1800,5400,21400,93800,196300,3022100
round_k,1,4,13,53,234,981,3650,15110
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,6600,28200,51500,161300,543900,9896900
round_k,1,4,16,70,257,806,2719,11004,49484
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,28200,50300,162100,587900,9236900
round_k,1,4,17,70,251,810,2939,11908,46184
round_shots,400,200,200,200,200,100,100,100,100
round_queries,400,600,1800,6600,20200,43300,141500,514100,7146700
round_k,1,4,16,50,216,707,2570,8066,35733
round_shots,300,200,300,200,200,100,100,100,100
round_queries,300,600,2700,5800,25000,46300,141900,435100,7753700
round_k,1,4,14,62,231,709,2175,8690,38768
round_shots,300,300,200,200,200,200,200,100,100
round_queries,300,900,1800,5800,19400,67800,283800,577300,9246500
round_k,1,4,14,48,169,709,2886,11046,46232
round_shots,300,200,300,200,200,200,100,100,100
round_queries,300,600,2700,6600,23400,90600,135900,426100,7107900
round_k,1,4,16,58,226,679,2130,8304,35539
round_shots,300,200,300,200,100,200,100,100,100
round_queries,300,600,2700,5800,11900,73000,162100,594700,8364700
round_k,1,4,14,59,182,810,2973,10446,41823
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,16600,36100,116300,410700,7231100
round_k,1,4,13,41,180,581,2053,8144,36155
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5800,23800,52500,162900,576900,9300300
round_k,1,4,14,59,262,814,2884,10583,46501
round_shots,300,300,200,200,200,100,100,100,100
round_queries,300,900,1800,5800,19800,42500,140300,503300,8831500
round_k,1,4,14,49,212,701,2516,10026,44157
round_shots,200,200,300,300,300,100,200,200,100
round_queries,200,600,2700,8700,32100,43700,289400,1116200,8346900
round_k,1,4,14,53,218,723,2790,9377,41734
round_shots,300,300,200,200,200,100,100,100,100
round_queries,300,900,1800,5400,22200,35500,107300,375100,4479900
round_k,1,4,13,55,177,536,1875,7124,22399
round_shots,300,300,200,200,200,200,100,100,100
round_queries,300,900,1800,7000,23000,95400,190300,698500,7691500
round_k,1,4,17,57,238,951,3492,11894,38457
round_shots,200,200,200,300,200,100,100,100,100
round_queries,200,600,1800,8700,21400,35500,115100,400700,5638900
round_k,1,4,14,53,177,575,2003,6971,28194
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,21400,40300,129300,465900,6694900
