round_k,0,1,3,14,62,300,1469,7420,37803
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2700,12300,56700,284300,1422700,7215100
round_k,0,1,3,13,61,283,1421,7113,36075
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12700,59500,296700,1515500,7731700
round_k,0,1,3,13,63,297,1483,7577,38658
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11900,56700,288300,1465500,7498900
round_k,0,1,3,13,59,283,1441,7327,37494
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,9500,45700,219100,1111100,5635700
round_k,0,1,10,47,228,1095,5555,28178
round_shots,100,100,200,100,100,100,100,100,100
round_queries,100,300,1400,3300,16300,78300,398700,2024900,10292900
round_k,0,1,3,16,81,391,1993,10124,51464
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2300,9700,44900,227700,1148100,5818100
round_k,0,2,11,48,224,1138,5740,29090
round_shots,100,300,100,100,100,100,100,100
round_queries,100,900,1900,7500,36300,179500,898100,4574100
round_k,0,1,9,37,181,897,4490,22870
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,9500,46300,223100,1118900,5669700
round_k,0,1,9,47,231,1115,5594,28348
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12700,60700,306900,1559700,7962300
round_k,0,1,3,14,63,303,1534,7798,39811
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12300,60900,294500,1504500,7713900
round_k,0,1,3,12,61,304,1472,7522,38569
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12300,59500,303900,1503900,7582500
round_k,0,1,3,13,61,297,1519,7519,37912
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,11700,56700,284500,1450300,7386300
round_k,0,1,3,14,58,283,1422,7251,36931
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,16100,76700,385700,1943300,9911700
round_k,0,1,4,16,80,383,1928,9716,49558
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12300,59500,295900,1514900,7749300
round_k,0,1,3,13,61,297,1479,7574,38746
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3300,15300,75500,381900,2339300,11919100
round_k,0,1,3,16,76,377,1909,11696,59595
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11900,55100,277900,1413700,7221900
round_k,0,1,3,13,59,275,1389,7068,36109
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,12700,62100,308900,1564500,7995100
round_k,0,1,3,15,63,310,1544,7822,39975
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,13300,62500,308900,1561700,7935100
round_k,0,1,4,14,66,312,1544,7808,39675
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10300,49100,243700,1227700,6236900
round_k,0,1,3,12,51,245,1218,6138,31184
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12500,61300,314300,1584300,8030500
round_k,0,1,3,14,62,306,1571,7921,40152
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,7700,34500,171700,839300,4261100
round_k,0,1,9,38,172,858,4196,21305
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11100,55900,282900,1435900,7286100
round_k,0,1,3,13,55,279,1414,7179,36430
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13700,67100,331100,1685300,8500100
round_k,0,1,3,14,68,335,1655,8426,42500
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2700,12300,61500,308100,1539100,7874900
round_k,0,1,3,13,61,307,1540,7695,39374
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,14100,70300,346100,1750100,8972500
round_k,0,1,4,14,70,351,1730,8750,44862
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12900,62100,294300,1465500,7485300
round_k,0,1,3,13,64,310,1471,7327,37426
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12700,59500,297500,1500700,7590300
round_k,0,1,3,13,63,297,1487,7503,37951
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12100,55700,282100,1419300,7249300
round_k,0,1,3,13,60,278,1410,7096,36246
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,2100,7900,39300,196700,995100,5075700
round_k,0,1,10,39,196,983,4975,25378
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1700,7900,36900,185500,941500,4828900
round_k,0,1,8,39,184,927,4707,24144
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12500,61300,304300,1541500,7757700
round_k,0,1,3,14,62,306,1521,7707,38788
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,900,2900,14300,66700,326500,1641500,8371900
round_k,0,1,4,14,71,333,1632,8207,41859
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,7500,36100,172100,878300,4408700
round_k,0,1,9,37,180,860,4391,22043
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,13500,63900,317700,1620100,8259500
round_k,0,1,4,15,67,319,1588,8100,41297
round_shots,100,300,100,100,100,100,100,100
