round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,3300,16500,79500,391100,1971700,9930500,50220300
round_k,0,1,3,16,82,397,1955,9858,49652,251101
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,13100,64900,314700,1564700,7782100,39441700
round_k,0,1,3,15,65,324,1573,7823,38910,197208
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11700,56700,278500,1391900,6994100,35133100
round_k,0,1,3,12,58,283,1392,6959,34970,175665
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13100,62700,310300,1477700,7414500,37398100
round_k,0,1,3,14,65,313,1551,7388,37072,186990
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11300,53100,255100,1212900,6056900,30726900
round_k,0,1,3,12,56,265,1275,6064,30284,153634
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11900,55500,271500,1369100,6887700,34975900
round_k,0,1,3,13,59,277,1357,6845,34438,174879
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,14100,69300,339700,1699300,8539300,43146300
round_k,0,1,3,14,70,346,1698,8496,42696,215731
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,11700,55100,261700,1299700,6453700,32601100
round_k,0,1,3,14,58,275,1308,6498,32268,163005
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10700,50700,246900,1225900,6178300,31320300
round_k,0,1,3,12,53,253,1234,6129,30891,156601
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3300,15100,75900,373900,1888500,9554300,48345300
round_k,0,1,3,16,75,379,1869,9442,47771,241726
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,13300,64100,319300,1586700,8022100,40709700
round_k,0,1,3,13,66,320,1596,7933,40110,203548
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12700,59900,295500,1479100,7503300,38031300
round_k,0,1,3,13,63,299,1477,7395,37516,190156
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,10300,50300,244500,1228500,6193700,31337900
round_k,0,1,3,12,51,251,1222,6142,30968,156689
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,1000,3100,13500,64300,320700,1601500,8095900,40760100
round_k,0,2,15,67,321,1603,8007,40479,203800
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12700,61100,301900,1515300,7638100,38342100
round_k,0,1,3,13,63,305,1509,7576,38190,191710
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10300,48900,242700,1213700,6103500,30877900
round_k,0,1,3,12,51,244,1213,6068,30517,154389
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7500,36300,172700,847300,4250500,21538700
round_k,0,1,9,37,181,863,4236,21252,107693
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7300,36500,180700,868300,4352300,22041900
round_k,0,1,9,36,182,903,4341,21761,110209
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,1000,3100,13300,64700,321500,1602500,8075300,40962900
round_k,0,2,15,66,323,1607,8012,40376,204814
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11100,52100,260500,1291900,6523100,32959500
round_k,0,1,3,13,55,260,1302,6459,32615,164797
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12500,58300,285500,1427900,7172900,36340300
round_k,0,1,3,14,62,291,1427,7139,35864,181701
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12300,59300,294500,1472700,7352100,37196700
round_k,0,1,3,13,61,296,1472,7363,36760,185983
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,11500,54700,265900,1339300,6723900,33854100
round_k,0,1,3,12,57,273,1329,6696,33619,169270
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1900,7700,35700,175300,881100,4443900,22443500
round_k,0,1,9,38,178,876,4405,22219,112217
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,9100,41300,194500,984700,4958100,25051100
round_k,0,1,3,11,45,206,972,4923,24790,125255
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,14100,70700,346900,2089900,10575700,53607700
round_k,0,1,3,14,70,353,1734,10449,52878,268038
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2100,9900,46900,229700,1149500,5748500,29120700
round_k,0,1,3,10,49,234,1148,5747,28742,145603
round_shots,200,100,200,100,100,100,100,100,100,100
round_queries,200,300,1400,3700,16500,77100,384900,1913700,9680700,48983300
round_k,0,1,3,18,82,385,1924,9568,48403,244916
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,900,2700,12700,59300,290900,1452900,7327900,37080100
round_k,0,1,4,13,63,296,1454,7264,36639,185400
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13100,63500,319300,1596100,8037100,40584100
round_k,0,1,3,14,65,317,1596,7980,40185,202920
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,12900,59700,301700,1505500,7575100,38426100
round_k,0,1,3,15,64,298,1508,7527,37875,192130
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10300,46900,233500,1174500,5900700,29872100
round_k,0,1,3,12,51,234,1167,5872,29503,149360
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12500,58900,285300,1420900,7103500,35736700
round_k,0,1,3,13,62,294,1426,7104,35517,178683
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,7500,34900,171300,844300,4250100,21473900
round_k,0,1,7,37,174,856,4221,21250,107369
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,2300,9900,46900,232500,1145900,5757700,29069900
round_k,0,2,11,49,234,1162,5729,28788,145349
round_shots,100,200,100,100,100,100,100,100,100,100
