round_k,2,9,32,112,466,1495,4750,17220,59607,262709
round_shots,800,300,200,200,200,100,200,100,100,100
round_queries,800,1500,3800,12200,43400,80900,501400,1115100,4041300,74079500
round_k,2,9,30,108,404,1253,5575,20206,79209,370397
round_shots,1200,300,200,200,200,200,100,100,100,100
round_queries,1200,1500,3800,14200,51400,189000,377700,1301500,4600500,62054500
round_k,2,9,35,128,472,1888,6507,23002,89736,310272
round_shots,800,400,200,200,200,100,100,100,100
round_queries,800,2000,4600,15800,63000,133500,412900,1395900,21078700
round_k,2,11,39,157,667,2064,6979,26075,105393
round_shots,1100,300,200,200,200,100,100,100,100,100
round_queries,1100,1500,3800,13400,49400,104100,326100,1100500,4071100,60561100
round_k,2,9,33,123,520,1630,5502,20355,76265,302805
round_shots,1100,400,200,200,100,100,100,100,100,100
round_queries,1100,2000,4600,16600,28300,84900,255700,786100,2821700,37499700
round_k,2,11,41,141,424,1278,3930,14108,46209,187498
round_shots,1300,400,200,200,200,100,200,100,100
round_queries,1300,2000,4600,13800,48200,94300,582600,1196300,17893100
round_k,2,11,34,120,471,1456,5981,22063,89465
round_shots,600,400,300,200,100,200,100,100,100,100
round_queries,600,2000,5700,13800,27700,167000,313100,1029700,3317900,54057900
round_k,2,9,34,138,417,1565,5148,16589,63987,270289
round_shots,1200,400,200,200,200,100,100,100,200,100
round_queries,1200,2000,4600,15000,49400,85500,258900,863700,5374200,27581700
round_k,2,11,37,123,427,1294,4318,13435,44783,137908
round_shots,1400,500,300,200,200,100,100,100,100
round_queries,1400,2500,8100,18600,69400,147700,480100,1675500,24628100
round_k,2,13,46,173,738,2400,8377,31289,123140
round_shots,1500,200,300,200,200,200,100,200,100,100
round_queries,1500,600,2700,5800,21000,75000,136700,843000,1720900,20500100
round_k,1,4,14,52,187,683,2107,8604,29812,102500
round_shots,800,200,500,200,200,100,100,100,100,100
round_queries,800,1000,7500,10200,37000,71900,220300,736500,2402700,40350500
round_k,2,7,25,92,359,1101,3682,12013,46804,201752
round_shots,1200,200,300,300,200,100,100,100,100,100
round_queries,1200,600,2700,9900,27800,53900,167700,540300,1724700,25919700
round_k,1,4,16,69,269,838,2701,8623,31540,129598
round_shots,1400,500,300,200,200,100,100,100,100
