round_k,1,12,38,155,703,3691
round_shots,200,400,100,100,100,100,100
round_queries,200,1200,900,2900,9900,40100,1009900
round_k,1,4,14,49,200,920,5049
round_shots,300,500,100,100,100,100
round_queries,300,1500,2300,7100,29100,696100
round_k,1,11,35,145,658,3480
round_shots,100,500,100,100,100,100,100
round_queries,100,1500,900,2900,9900,37900,938300
round_k,1,4,14,49,189,859,4691
round_shots,300,500,100,100,100,100,100
round_queries,300,1500,900,2900,9900,39100,955900
round_k,1,4,14,49,195,878,4779
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7500,27700,648900
round_k,1,12,37,138,627,3244
round_shots,100,400,100,100,100,100,100
round_queries,100,1200,900,3100,10100,41100,994300
round_k,1,4,15,50,205,923,4971
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,9300,36100,847500
round_k,1,12,46,180,797,4237
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,900,2900,10100,39500,1019300
round_k,1,4,14,50,197,926,5096
round_shots,100,500,100,100,100,100
round_queries,100,1500,2100,6900,25500,595700
round_k,1,10,34,127,581,2978
round_shots,100,600,100,100,100,100,100
round_queries,100,1800,900,2700,9900,40100,996300
round_k,1,4,13,49,200,912,4981
round_shots,300,500,100,100,100,100
round_queries,300,1500,2300,7100,29100,682900
round_k,1,11,35,145,653,3414
round_shots,200,500,200,100,100
round_queries,200,1500,4600,11500,223700
round_k,1,11,57,236,1118
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,9300,36700,898700
round_k,1,12,46,183,826,4493
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7500,29300,685300
round_k,1,12,37,146,665,3426
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7700,29500,674500
round_k,1,12,38,147,650,3372
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,7100,26700,627100
round_k,1,10,35,133,603,3135
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,9500,36500,886900
round_k,1,12,47,182,828,4434
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,9500,37300,922100
round_k,1,12,47,186,855,4610
round_shots,200,400,100,200,100,100
round_queries,200,1200,900,5400,12700,247300
round_k,1,4,13,63,256,1236
round_shots,100,600,100,100,100,100
round_queries,100,1800,2300,8700,34100,816100
round_k,1,11,43,170,759,4080
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,7500,28100,673700
round_k,1,12,37,140,637,3368
round_shots,200,600,100,100,100,100
round_queries,200,1800,900,2700,10300,191700
round_k,1,4,13,51,203,958
round_shots,100,700,100,100,100,100
round_queries,100,2100,2500,7500,29100,624700
round_k,1,12,37,145,635,3123
round_shots,300,700,100,100,100,100
round_queries,300,2100,2700,8300,32100,781900
round_k,1,13,41,160,735,3909
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7700,30500,699500
round_k,1,11,38,152,667,3497
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7100,27100,646500
round_k,1,11,35,135,622,3232
round_shots,200,600,200,100,100
round_queries,200,1800,5000,12500,232100
round_k,1,12,62,245,1160
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7300,27100,609500
round_k,1,11,36,135,592,3047
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7300,26900,587100
round_k,1,11,36,134,573,2935
round_shots,200,700,100,100,100,100
round_queries,200,2100,2700,9700,40100,975900
round_k,1,13,48,200,890,4879
round_shots,100,500,100,100,100,100,100
round_queries,100,1500,900,2900,10100,40100,1021700
round_k,1,4,14,50,200,942,5108
round_shots,200,700,100,100,100,100
round_queries,200,2100,900,2900,9900,191300
round_k,1,4,14,49,205,956
round_shots,200,500,100,100,100,100,100
round_queries,200,1500,900,2700,9500,37100,908500
round_k,1,4,13,47,185,845,4542
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7700,31500,757100
round_k,1,11,38,157,716,3785
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7700,29100,687900
